Species C_T A_G T_C G_T A_C G_A A_T G_C C_A C_G T_A T_G BranchLength C_T_rate A_G_rate T_C_rate G_T_rate A_C_rate G_A_rate A_T_rate G_C_rate C_A_rate C_G_rate T_A_rate T_G_rate C_T_rate.res A_G_rate.res T_C_rate.res G_T_rate.res A_C_rate.res G_A_rate.res A_T_rate.res G_C_rate.res C_A_rate.res C_G_rate.res T_A_rate.res T_G_rate.res
BDIT074_Aderitotermes_fossor_1 34 55 45 5 27 10 36 1 16 1 21 24 0.0259155139 1311.95546155077 2122.28089368508 1736.41164028779 192.934626698643 1041.84698417267 385.869253397287 1389.12931223023 38.5869253397287 617.390805435658 38.5869253397287 810.325432134302 926.086208153488 798.294450265182 1269.77861941091 1088.25101551342 77.4535749975578 663.935257495193 116.743784469004 891.906333238953 8.2323639114599 424.543699220583 3.91618952335791 537.086239706438 734.250638604881
BDIT075_Cubitermes_fulvus_1 20 22 19 2 1 6 8 0 1 2 5 2 0.0590592642 338.642891524544 372.507180676999 321.710746948317 33.8642891524544 16.9321445762272 101.592867457363 135.457156609818 0 16.9321445762272 33.8642891524544 84.6607228811361 33.8642891524544 -112.215453266879 -376.052521874333 -246.923453188854 -67.4843688132084 -313.352423452312 -134.966411810457 -299.745571216173 -26.6757064255378 -151.94974459043 3.66432633263789 -155.476484544819 -133.901224111044
BDIT076_Apicotermitinae_gen.A_1 40 55 44 11 30 17 30 3 13 1 15 20 0.0643255545 621.836847127373 855.025664800138 684.02053184011 171.005132960028 466.37763534553 264.280660029134 466.37763534553 46.637763534553 202.096975316396 15.5459211781843 233.188817672765 310.918423563686 180.957369252901 122.981647778245 128.022476824409 71.9020050677871 143.660661247647 32.8959010604499 41.0294545807177 20.5465992396017 37.0229771981898 -13.9436697539567 -1.6887356419811 146.977459507425
BDIT087_Odontotermes_sp._1 4 1 5 1 0 5 0 0 1 1 0 0 0.0291613986 137.167632282218 34.2919080705546 171.459540352773 34.2919080705546 0 171.459540352773 0 0 34.2919080705546 34.2919080705546 0 0 -370.342891733599 -808.030902498396 -468.91278036309 -79.8051083241766 -373.247430568444 -94.4766064318359 -491.149116422153 -29.9942781453332 -156.208199671338 0.0590108673563436 -269.997397951234 -189.478303798147
BDIT089_Microcerotermes_progrediens_1 29 52 46 12 23 19 11 4 11 3 6 7 0.0874631374 331.568256777397 594.536184566368 525.935855577941 137.200657976854 262.96792778897 217.234375130019 125.767269812116 45.7335526589514 125.767269812116 34.3001644942135 68.6003289884271 80.0337171531649 -65.4688107120981 -64.9457401060532 25.4550315976121 47.9633246512822 -26.5006262732586 8.5840051844768 -256.284703075592 22.2105893621463 -22.5766603097038 7.93161085865313 -143.168797693736 -67.1039908544174
BDIT101_Anenteotermes_polyscolus_1 33 63 65 5 32 14 55 1 19 2 23 23 0.0426064206 774.531151297887 1478.65037975051 1525.59166164735 117.353204742104 751.060510349466 328.588973277891 1290.88525216314 23.4706409484208 445.942178019995 46.9412818968416 539.824741813679 539.824741813679 292.497021022362 678.492687820839 917.479858197949 8.98910459751176 397.133409859434 75.8635564945002 824.89513657267 -5.03128084016873 265.163748348153 14.5219887894864 283.25542344203 360.110644943392
BDIT102_Microcerotermes_fuscotibialis_1 23 44 41 5 8 4 9 0 3 1 3 4 0.085663829 268.491383918877 513.635690975242 478.615075681476 58.3676921562775 93.3883074500441 46.694153725022 105.0618458813 0 35.0206152937665 11.6735384312555 35.0206152937665 46.694153725022 -131.955115645821 -151.48906954785 -26.1830800001987 -31.636860766657 -198.665830496008 -163.724170000092 -280.357083306819 -23.7226810308841 -114.624338880936 -14.9377245939901 -178.545552433284 -101.750269849455
BDIT108_Foraminitermes_rhinoceros_1 31 80 56 8 51 11 34 4 23 6 23 25 0.0744593469 416.334567661914 1074.41178751462 752.088251260232 107.441178751462 684.937514540569 147.73162078326 456.625009693712 53.7205893757309 308.893388910453 80.5808840635963 308.893388910453 335.753683598318 -5.34282298170192 374.14849638606 220.405618316354 12.6590689375473 376.782674600153 -73.6959365322921 50.2396905307404 28.7542450703684 151.146821520254 52.4582442158836 84.1368581414642 179.172205153726
BDIT109_Aderitotermes_sp_1 31 39 48 5 19 8 32 6 12 1 30 11 0.0787202201 393.799711949738 495.4254440658 609.754392696369 63.5160825725384 241.361113775646 101.625732116061 406.502928464246 76.2192990870461 152.438598174092 12.7032165145077 381.096495435231 139.735381659585 -19.803933383483 -191.475263945757 88.2954673402369 -29.4492039436486 -60.6709041533027 -115.615201673354 8.09076935876599 51.7258986865205 -2.22706406417041 -14.8446725379004 160.595468629577 -13.7517137770673
BDIT112_Astalotermes_murcus_1 36 43 30 11 25 19 37 2 9 1 43 14 0.0803069191 448.280178139719 535.445768333553 373.566815116433 136.974498876025 311.305679263694 236.592316240407 460.732405310267 24.9044543410955 112.07004453493 12.4522271705477 535.445768333553 174.331180387668 37.6831004767723 -146.478871094418 -144.08492193713 44.6857759594498 11.553728144237 20.9104317468725 65.2893571114579 0.587172680940024 -41.4483249081201 -14.8816314544449 316.529441087398 21.9963967410767
BDIT114_Trinevitermes_sp.A_1 19 23 21 5 4 7 5 1 0 0 10 0 0.048345103 393.007746823913 475.746219839474 434.376983331693 103.423091269451 82.7384730155606 144.792327777231 103.423091269451 20.6846182538902 0 0 206.846182538902 0 -78.1524010681782 -306.414311190858 -159.96519871791 -2.49405225540895 -262.942211947359 -102.294408478219 -351.828513422758 -7.18032732454714 -176.628966559095 -31.6452000708855 -43.991684895056 -175.546481343375
BDIT121_Alyscotermes_sp.B_1 15 14 16 1 4 13 6 0 1 0 4 2 0.0257500858 582.522330857632 543.687508800456 621.357152914807 38.8348220571754 155.339288228702 504.852686743281 233.008932343053 0 38.8348220571754 0 155.339288228702 77.6696441143509 68.5478569825962 -309.33356681616 -27.2004065820493 -76.7167676796765 -222.810156579415 235.564672453323 -264.523604022357 -30.3729234418541 -154.131900082064 -34.6930504752629 -118.065123838929 -114.286064635224
BDIT8-M2B_Microtermes_sp_Burundi_1 37 46 35 6 12 15 17 2 9 0 7 7 0.0898438086 411.825818345818 511.999666051557 389.564963300098 66.7825651371596 133.565130274319 166.956412842899 189.217267888619 22.2608550457199 100.173847705739 0 77.9129926600195 77.9129926600195 19.2997822891739 -140.01620288744 -105.203584095383 -21.4396572716196 -152.482428761485 -39.3547713099479 -188.37987341155 -0.99786102273282 -46.4486929682211 -26.047423998199 -131.478462767576 -67.4957954377258
