Species	A_G	T_A	C_A	C_T	T_C	A_C	A_T	G_T	G_A	T_G	C_G	G_C	BranchLength	sumOfSubs	A_G_fr	T_A_fr	C_A_fr	C_T_fr	T_C_fr	A_C_fr	A_T_fr	G_T_fr	G_A_fr	T_G_fr	C_G_fr	G_C_fr	Taxonomy	Worker	diet.Wood.Soil	Soldier
TBRU2.3A_Schedorhinotermes_sarawakensis_Brunei_1	31	6	16	38	31	20	10	8	16	10	1	1	0.0457913143	188	0.164893617021277	0.0319148936170213	0.0851063829787234	0.202127659574468	0.164893617021277	0.106382978723404	0.0531914893617021	0.0425531914893617	0.0851063829787234	0.0531914893617021	0.00531914893617021	0.00531914893617021	Rhinotermitinae	1	Wood	1
TBRU3.12b_Nasutitermes_neoparvus_1	40	10	12	14	21	6	9	6	9	4	0	0	0.0375856266	131	0.305343511450382	0.0763358778625954	0.0916030534351145	0.106870229007634	0.16030534351145	0.0458015267175573	0.0687022900763359	0.0458015267175573	0.0687022900763359	0.0305343511450382	0	0	Nasutitermitinae	1	Wood	1
TBRU3.17a_Nasutitermes_longirostris_1	9	4	0	3	8	1	5	0	3	1	0	2	0.0687506416	36	0.25	0.111111111111111	0	0.0833333333333333	0.222222222222222	0.0277777777777778	0.138888888888889	0	0.0833333333333333	0.0277777777777778	0	0.0555555555555556	Nasutitermitinae	1	Wood	1
TBRU3.18a_Microcerotermes_nr.havilandi_1	38	3	5	18	41	6	10	3	15	7	3	0	0.033427187	149	0.25503355704698	0.0201342281879195	0.0335570469798658	0.120805369127517	0.275167785234899	0.0402684563758389	0.0671140939597315	0.0201342281879195	0.100671140939597	0.0469798657718121	0.0201342281879195	0	Microcerotermes	1	Wood	1
TBRU3.23a_Orientotermes_emersoni_1	27	61	28	60	20	52	81	13	18	22	7	5	0.1557101163	394	0.0685279187817259	0.154822335025381	0.0710659898477157	0.152284263959391	0.050761421319797	0.131979695431472	0.205583756345178	0.032994923857868	0.0456852791878173	0.0558375634517767	0.0177664974619289	0.0126903553299492	Cephalo-group	1	Wood	0
TBRU5.14a_Prohamitermes_mirabilis_1	20	7	4	8	19	4	9	2	5	3	0	1	0.0201460519	82	0.24390243902439	0.0853658536585366	0.0487804878048781	0.0975609756097561	0.231707317073171	0.0487804878048781	0.109756097560976	0.024390243902439	0.0609756097560976	0.0365853658536585	0	0.0121951219512195	NA	NA	NA	NA
TBRU5.4a_Glyptotermes_1	77	24	14	48	56	52	58	5	17	23	3	3	0.134386153	380	0.202631578947368	0.0631578947368421	0.0368421052631579	0.126315789473684	0.147368421052632	0.136842105263158	0.152631578947368	0.0131578947368421	0.0447368421052632	0.0605263157894737	0.00789473684210526	0.00789473684210526	Kalotermitidae	0	Wood	1
TBRU7.17B_Heterotermes_tenuior_Brunei_1	67	14	18	38	41	36	31	9	21	17	2	4	0.0849983522	298	0.224832214765101	0.0469798657718121	0.0604026845637584	0.12751677852349	0.13758389261745	0.120805369127517	0.104026845637584	0.0302013422818792	0.0704697986577181	0.0570469798657718	0.00671140939597315	0.0134228187919463	Coptotermitinae	1	Wood	1
TBRU8.14E_Labritermes_buttelreepeni_1	64	30	27	26	54	67	57	7	15	21	5	5	0.1080622621	378	0.169312169312169	0.0793650793650794	0.0714285714285714	0.0687830687830688	0.142857142857143	0.177248677248677	0.150793650793651	0.0185185185185185	0.0396825396825397	0.0555555555555556	0.0132275132275132	0.0132275132275132	Foraminitermitinae	1	Soil	1
TBRU8.15B_Procapritermes_martyni_1	36	31	7	20	25	12	34	5	11	6	3	1	0.0638256509	191	0.18848167539267	0.162303664921466	0.0366492146596859	0.104712041884817	0.130890052356021	0.06282722513089	0.178010471204188	0.0261780104712042	0.0575916230366492	0.031413612565445	0.0157068062827225	0.00523560209424084	Pericapritermes-group	1	Soil	1
TBRU9.12E_Microcerotermes_serrula_1	47	12	3	25	28	15	29	7	17	7	4	3	0.0593157329	197	0.238578680203046	0.0609137055837563	0.0152284263959391	0.126903553299492	0.142131979695431	0.0761421319796954	0.147208121827411	0.0355329949238579	0.0862944162436548	0.0355329949238579	0.0203045685279188	0.0152284263959391	Microcerotermes	1	Wood	1
TBRU9.19A_Macrotermes_sp.B_1	40	17	11	23	23	17	12	7	12	11	2	0	0.0553647524	175	0.228571428571429	0.0971428571428571	0.0628571428571429	0.131428571428571	0.131428571428571	0.0971428571428571	0.0685714285714286	0.04	0.0685714285714286	0.0628571428571429	0.0114285714285714	0	Macrotermitinae	1	Wood	1
TBRU9.19E_Odontotermes_mathuri_1	32	4	13	36	27	18	9	9	26	5	2	2	0.0237654451	183	0.174863387978142	0.0218579234972678	0.0710382513661202	0.19672131147541	0.147540983606557	0.0983606557377049	0.0491803278688525	0.0491803278688525	0.14207650273224	0.0273224043715847	0.0109289617486339	0.0109289617486339	Macrotermitinae	1	Wood	1
Tenodera_sinensis_1	17	105	8	5	21	18	102	5	2	8	2	3	0.0995723407	296	0.0574324324324324	0.35472972972973	0.027027027027027	0.0168918918918919	0.0709459459459459	0.0608108108108108	0.344594594594595	0.0168918918918919	0.00675675675675676	0.027027027027027	0.00675675675675676	0.0101351351351351	NA	NA	NA	NA
THAI008_Hypotermes_makhamensis_1	45	3	9	27	21	13	10	4	19	8	0	1	0.0367477066	160	0.28125	0.01875	0.05625	0.16875	0.13125	0.08125	0.0625	0.025	0.11875	0.05	0	0.00625	Macrotermitinae	1	Wood	1
THAI021_Nasutitermes_sp.2_1	38	21	15	45	34	17	33	10	20	5	1	0	0.0734426439	239	0.158995815899582	0.0878661087866109	0.0627615062761506	0.188284518828452	0.142259414225941	0.0711297071129707	0.138075313807531	0.0418410041841004	0.0836820083682008	0.0209205020920502	0.00418410041841004	0	Nasutitermitinae	1	Wood	1
THAI023_Parrhinotermes_spA_Thailand_1	33	8	5	26	31	9	8	0	15	6	2	1	0.0411038608	144	0.229166666666667	0.0555555555555556	0.0347222222222222	0.180555555555556	0.215277777777778	0.0625	0.0555555555555556	0	0.104166666666667	0.0416666666666667	0.0138888888888889	0.00694444444444444	Rhinotermitinae	1	Wood	1
THAI026_Dicuspiditermes_sp.2_1	53	37	28	31	35	26	52	11	16	19	8	4	0.1059201525	320	0.165625	0.115625	0.0875	0.096875	0.109375	0.08125	0.1625	0.034375	0.05	0.059375	0.025	0.0125	Pericapritermes-group	1	Soil	1
THAI028_Pericapritermes_sp.2_1	16	7	7	11	28	3	10	5	13	2	0	0	0.0332887224	102	0.156862745098039	0.0686274509803922	0.0686274509803922	0.107843137254902	0.274509803921569	0.0294117647058824	0.0980392156862745	0.0490196078431373	0.127450980392157	0.0196078431372549	0	0	Pericapritermes-group	1	Soil	1
THAI031_Glyptotermes_sp3_Thailand_1	80	36	15	22	58	78	74	6	16	33	6	6	0.1611248459	430	0.186046511627907	0.0837209302325581	0.0348837209302326	0.0511627906976744	0.134883720930233	0.181395348837209	0.172093023255814	0.013953488372093	0.0372093023255814	0.0767441860465116	0.013953488372093	0.013953488372093	Kalotermitidae	0	Wood	1
THAI036_Termes_rostratus_1	23	4	6	10	24	3	3	1	8	0	1	1	0.0299888684	84	0.273809523809524	0.0476190476190476	0.0714285714285714	0.119047619047619	0.285714285714286	0.0357142857142857	0.0357142857142857	0.0119047619047619	0.0952380952380952	0	0.0119047619047619	0.0119047619047619	Termes-group	1	Soil	1
