Species	C_T	A_G	T_C	G_T	G_A	A_T	G_C	A_C	C_A	C_G	T_A	T_G	BranchLength	sumOfSubs	C_T_fr	A_G_fr	T_C_fr	G_T_fr	G_A_fr	A_T_fr	G_C_fr	A_C_fr	C_A_fr	C_G_fr	T_A_fr	T_G_fr	Taxonomy	Worker	diet.wood.soil	Soldier	TsTv	Ts	Tv	Cockroaches
AUS57_Tumulitermes_recalvus_1	27	45	26	6	17	19	1	11	7	1	8	5	0.049096639	173	0.156069364	0.260115607	0.150289017	0.034682081	0.098265896	0.10982659	0.005780347	0.063583815	0.040462428	0.005780347	0.046242775	0.028901734	Nasutitermitinae	1	Wood	1	1.98275862068966	115	58	0
AUS5_Tumulitermes_sp._1	20	38	35	5	5	17	0	10	7	2	6	3	0.041382721	148	0.135135135	0.256756757	0.236486486	0.033783784	0.033783784	0.114864865	0	0.067567568	0.047297297	0.013513514	0.040540541	0.02027027	Nasutitermitinae	1	Wood	1	1.96	98	50	0
AUS66_Microcerotermes_sp.E_1	17	53	45	6	15	6	1	9	8	2	3	5	0.042162105	170	0.1	0.311764706	0.264705882	0.035294118	0.088235294	0.035294118	0.005882353	0.052941176	0.047058824	0.011764706	0.017647059	0.029411765	Microcerotermes	1	Wood	1	3.25	130	40	0
AUS6_Microcerotermes_nervosus_1	28	37	33	7	17	10	1	10	6	2	7	5	0.043773087	163	0.171779141	0.226993865	0.202453988	0.042944785	0.104294479	0.061349693	0.006134969	0.061349693	0.036809816	0.012269939	0.042944785	0.030674847	Microcerotermes	1	Wood	1	2.39583333333333	115	48	0
AUS82_Microcerotermes_sp.I_1	22	39	45	6	20	8	0	7	7	4	9	4	0.047984215	171	0.128654971	0.228070175	0.263157895	0.035087719	0.116959064	0.046783626	0	0.040935673	0.040935673	0.023391813	0.052631579	0.023391813	Microcerotermes	1	Wood	1	2.8	126	45	0
AUS89_NODE_1_length_15463_cov_359375_ID_1361_1	21	75	41	10	16	88	5	64	11	2	39	42	0.192236236	414	0.050724638	0.18115942	0.099033816	0.024154589	0.038647343	0.212560386	0.012077295	0.154589372	0.026570048	0.004830918	0.094202899	0.101449275	Kalotermitidae	0	wood	1	0.586206896551724	153	261	0
AUS97_Nasutitermes_sp._1	30	64	32	10	12	24	2	14	6	1	13	12	0.059168018	220	0.136363636	0.290909091	0.145454545	0.045454545	0.054545455	0.109090909	0.009090909	0.063636364	0.027272727	0.004545455	0.059090909	0.054545455	Nasutitermitinae	1	Wood	1	1.68292682926829	138	82	0
AUST14-12_Stolotermes_victoriensis_1	17	36	25	7	9	84	1	52	9	3	45	22	0.178115903	310	0.05483871	0.116129032	0.080645161	0.022580645	0.029032258	0.270967742	0.003225806	0.167741935	0.029032258	0.009677419	0.14516129	0.070967742	Stolotermitidae	0	wood	1	0.390134529147982	87	223	0
AUSTRALIANRPERTH_Coptotermes_michaelseni_1	22	40	27	2	21	2	3	7	8	1	5	1	0.037592234	139	0.158273381	0.287769784	0.194244604	0.014388489	0.151079137	0.014388489	0.021582734	0.050359712	0.057553957	0.007194245	0.035971223	0.007194245	Coptotermitinae	1	Wood	1	3.79310344827586	110	29	0
BDIT026_Promirotermes_pygmaeus_1	24	41	40	5	10	13	0	13	7	3	14	9	0.047066754	179	0.134078212	0.229050279	0.223463687	0.027932961	0.055865922	0.072625698	0	0.072625698	0.039106145	0.016759777	0.078212291	0.05027933	Promiro	1	Soil	1	1.796875	115	64	0
BDIT051_Microtermes_sp_Burundi_1	30	42	26	7	13	12	1	10	9	3	11	10	0.051391434	174	0.172413793	0.24137931	0.149425287	0.040229885	0.074712644	0.068965517	0.005747126	0.057471264	0.051724138	0.017241379	0.063218391	0.057471264	Macrotermitinae	1	Wood	1	1.76190476190476	111	63	0
BDIT075_Cubitermes_fulvus_1	13	23	19	0	6	10	0	2	1	2	5	2	0.023859681	83	0.156626506	0.277108434	0.228915663	0	0.072289157	0.120481928	0	0.024096386	0.012048193	0.024096386	0.060240964	0.024096386	Cubitermitinae	1	Soil	1	2.77272727272727	61	22	0
BDIT089_Microcerotermes_progrediens_1	27	47	43	12	17	10	4	21	9	3	8	7	0.061398149	208	0.129807692	0.225961538	0.206730769	0.057692308	0.081730769	0.048076923	0.019230769	0.100961538	0.043269231	0.014423077	0.038461538	0.033653846	Microcerotermes	1	Wood	1	1.81081081081081	134	74	0
BDIT102_Microcerotermes_fuscotibialis_1	19	45	45	5	4	8	0	7	2	1	3	4	0.038461259	143	0.132867133	0.314685315	0.314685315	0.034965035	0.027972028	0.055944056	0	0.048951049	0.013986014	0.006993007	0.020979021	0.027972028	Microcerotermes	1	Wood	1	3.76666666666667	113	30	0
BDIT108_Foraminitermes_rhinoceros_1	26	76	56	7	8	38	5	50	21	5	24	25	0.097498144	341	0.076246334	0.2228739	0.164222874	0.020527859	0.023460411	0.11143695	0.014662757	0.146627566	0.061583578	0.014662757	0.070381232	0.073313783	Foraminitermitinae	1	Soil	1	0.948571428571429	166	175	0
BDIT114_Trinevitermes_sp.A_1	16	24	21	4	6	4	1	4	0	0	10	1	0.028079599	91	0.175824176	0.263736264	0.230769231	0.043956044	0.065934066	0.043956044	0.010989011	0.043956044	0	0	0.10989011	0.010989011	Nasutitermitinae	1	Wood	1	2.79166666666667	67	24	0
BDIT8-M2B_Microtermes_sp_Burundi_1	34	46	36	5	15	17	2	12	9	0	7	7	0.05267846	190	0.178947368	0.242105263	0.189473684	0.026315789	0.078947368	0.089473684	0.010526316	0.063157895	0.047368421	0	0.036842105	0.036842105	Macrotermitinae	1	Wood	1	2.22033898305085	131	59	0
Bifid_1	37	46	44	9	17	89	5	57	15	6	40	37	0.151632661	402	0.092039801	0.114427861	0.109452736	0.02238806	0.042288557	0.221393035	0.012437811	0.141791045	0.037313433	0.014925373	0.099502488	0.092039801	Kalotermitidae	0	wood	1	0.558139534883721	144	258	0
BRA13_Spinitermes_sp.A_1	9	43	22	2	8	2	0	5	3	1	6	1	0.022245535	102	0.088235294	0.421568627	0.215686275	0.019607843	0.078431373	0.019607843	0	0.049019608	0.029411765	0.009803922	0.058823529	0.009803922	Termes-group	1	Soil	1	4.1	82	20	0
